ID,Mount name,Flange focal distance,Frame size,Throat or thread diameter,Mount thread pitch,Mount type,Primary use,Camera lines
107,Sony E | FE ,18 mm ,35 mm and APS-C ,46.1 mm (1.815 inch) ,,Bayonet ,Photography (Digital) ,Sony E/FE Mount Alpha Mirrorless Full Frame / APS-C| Sony NEX Mirrorless APS-C 
108,Sony Mavica ,57 mm ,,,,Bayonet ,Photography (Digital) ,
109,T ,55 mm ,35 mm ,42 mm ,0.75 mm ,Screw ,Photography ,Tamron 
110,T-thread ,55 mm ,35 mm ,47 mm ,0.75 mm ,Screw ,Photography ,Tokina 
111,T-Thread (Very earliest type) ,50.7 mm ,35 mm ,M37 ,0.75mm ,Screw ,Photography ,Tamron 
112,TFL II[15] ,17.526 mm ,35 mm ,M48 ,0.75 mm ,Screw ,Machine Vision ,
113,TFL[15] ,17.526 mm ,28 mm ,M35 ,0.75 mm ,Screw ,Machine Vision ,
114,Yashica MA ,~45.8 mm ,35 mm ,,,Bayonet ,Photography ,Kyocera Yashica 230 AF etc. 
115,YS Auto T-Thread ,55 mm ,35 mm ,42 mm ,0.75 mm ,Screw ,Photography ,Sigma Corporation 
116,Zeiss ,Unknown ,,M27 ,0.75 mm ,Screw ,Microscope ,
117,Zeiss Panflex 5522/23 for Contax RF ,64.50 mm ,35 mm ,,,Double bayonet ,Photography ,
118,Zenit M39 ,45.2 mm ,35 mm ,M39 ,1 mm ,Screw ,Photography ,
